# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 3.71900030e+00
# Aref          : 3.51160410e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
24              	4.29822199e-02	1.28304763e-04	-1.14943269e-04	-3.93858353e-08	-2.51167863e-05	-1.70329580e-05	2.14910706e-02	2.14911494e-02	4.71194235e-05	8.11853394e-05	-8.25884209e-05	-3.23548483e-05
25              	1.90475377e-02	9.47005887e-05	-1.85315029e-04	-4.18838904e-08	-5.06590902e-05	-1.20760519e-05	9.52372697e-03	9.52381073e-03	3.52742424e-05	5.94263462e-05	-1.43316605e-04	-4.19984244e-05
26              	2.25303737e-02	2.50000054e-05	-2.04673680e-04	-4.45567404e-08	-6.43647315e-05	-3.67708006e-06	1.12651423e-02	1.12652314e-02	8.82292266e-06	1.61770828e-05	-1.66701571e-04	-3.79721083e-05
27              	4.12220522e-02	-2.44849448e-05	-1.58746649e-04	-4.62001658e-08	-5.60294948e-05	1.81380047e-06	2.06109799e-02	2.06110723e-02	-1.04286719e-05	-1.40562729e-05	-1.35402819e-04	-2.33438297e-05
28              	5.71008005e-02	-2.51538466e-05	-8.76094897e-05	-4.65148951e-08	-3.52361315e-05	9.95919933e-07	2.85503537e-02	2.85504468e-02	-1.15810034e-05	-1.35728433e-05	-7.90408763e-05	-8.56861333e-06
29              	6.02684019e-02	8.32734821e-06	-5.10903749e-05	-4.54343826e-08	-2.13046891e-05	-3.73007843e-06	3.01341555e-02	3.01342464e-02	4.33595674e-07	7.89375253e-06	-4.68498766e-05	-4.24049837e-06
30              	5.27276416e-02	4.29610918e-05	-7.97283370e-05	-4.36858834e-08	-2.64415146e-05	-7.25002635e-06	2.63637771e-02	2.63638645e-02	1.42305195e-05	2.87305722e-05	-6.63056831e-05	-1.34226539e-05
31              	4.30156790e-02	5.15032721e-05	-1.45184737e-04	-4.24650022e-08	-4.45028119e-05	-5.34315855e-06	2.15077970e-02	2.15078820e-02	2.04084775e-05	3.10947946e-05	-1.17095181e-04	-2.80895568e-05
32              	3.82364465e-02	3.32847507e-05	-1.86654500e-04	-4.16301547e-08	-5.79285816e-05	9.04610454e-07	1.91181816e-02	1.91182649e-02	1.75469858e-05	1.57377649e-05	-1.51255831e-04	-3.53986683e-05
33              	3.98131590e-02	7.64863450e-06	-1.66547991e-04	-3.99679443e-08	-5.44282934e-05	6.21501760e-06	1.99065395e-02	1.99066195e-02	1.00393349e-05	-2.39070035e-06	-1.37702289e-04	-2.88457019e-05
34              	4.45324433e-02	-8.39172695e-06	-1.05022365e-04	-3.73328756e-08	-3.80119578e-05	7.79822580e-06	2.22661843e-02	2.22662590e-02	3.60236233e-06	-1.19940893e-05	-9.05231402e-05	-1.44992245e-05
35              	4.81501321e-02	-5.60779485e-06	-4.44472133e-05	-3.28619774e-08	-1.95688720e-05	5.70593287e-06	2.40750332e-02	2.40750989e-02	2.90203545e-06	-8.50983030e-06	-4.17924786e-05	-2.65473466e-06
36              	4.85886882e-02	7.88168004e-06	-1.99595216e-05	-2.70090579e-08	-9.73028067e-06	2.68457116e-06	2.42943171e-02	2.42943711e-02	6.62541117e-06	1.25626886e-06	-1.97100415e-05	-2.49480129e-07
37              	4.65203902e-02	1.83612250e-05	-3.15292757e-05	-2.03604362e-08	-9.36296700e-06	1.81989261e-06	2.32601748e-02	2.32602155e-02	1.10005051e-05	7.36071987e-06	-2.51276049e-05	-6.40167086e-06
38              	4.39898527e-02	1.71089862e-05	-4.46657744e-05	-1.36189934e-08	-9.29598342e-06	4.13793614e-06	2.19949127e-02	2.19949399e-02	1.26924292e-05	4.41655695e-06	-3.16288706e-05	-1.30369038e-05
39              	4.26257037e-02	7.23354258e-06	-2.57135494e-05	-6.99790793e-09	7.52090327e-08	8.33863237e-06	2.13128449e-02	2.13128588e-02	1.19554037e-05	-4.72186108e-06	-1.27815657e-05	-1.29319838e-05
40              	4.27694686e-02	-2.41635097e-06	2.97748793e-05	-1.14359712e-09	2.05064180e-05	1.19674570e-05	2.13847331e-02	2.13847354e-02	1.07592815e-05	-1.31756325e-05	3.53938577e-05	-5.61897836e-06
41              	4.36976165e-02	-6.66367313e-06	1.02874604e-04	3.42523053e-09	4.67030079e-05	1.33694567e-05	2.18488117e-02	2.18488048e-02	1.00376202e-05	-1.67012933e-05	9.81403100e-05	4.73429414e-06
42              	4.44574074e-02	-6.87194710e-06	1.66985049e-04	7.07234238e-09	7.07178012e-05	1.31714506e-05	2.22287108e-02	2.22286966e-02	9.73547703e-06	-1.66074241e-05	1.54210326e-04	1.27747235e-05
43              	4.45464371e-02	-7.16933314e-06	2.06335776e-04	1.00561312e-08	8.75704144e-05	1.30033384e-05	2.22732286e-02	2.22732085e-02	9.41867179e-06	-1.65880049e-05	1.90738302e-04	1.55974735e-05
44              	4.40680452e-02	-1.04923119e-05	2.26995762e-04	1.20940538e-08	9.82584260e-05	1.39472241e-05	2.20340347e-02	2.20340105e-02	8.70106816e-06	-1.91933800e-05	2.11756307e-04	1.52394552e-05
